"user_id","sex","age","region","bundle","num_sessions","avg_session","service","order_date","price","fuel","cinema","vkusvill","travel","restaurants","concerts","games","books","theater","sports","beauty","flowers","technology"
"60610","M","17","Москва","Tinkoff Pro","2126","61","Вкусвилл","2022-12-02","386","0","0","1","0","0","0","0","0","0","0","0","0","0"
"88454","M","17","Омская область","No bundle","936","61","Топливо","2022-08-21","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"63175","M","17","Республика Калмыкия","No bundle","744","88","Путешествия","2022-08-05","3031","0","0","0","1","0","0","0","0","0","0","0","0","0"
"63175","M","17","Республика Калмыкия","No bundle","744","88","Путешествия","2022-05-16","6119","0","0","0","1","0","0","0","0","0","0","0","0","0"
"35133","M","16","Орловская область","No bundle","1137","97","Кино","2022-02-21","178","0","1","0","0","0","0","0","0","0","0","0","0","0"
"35883","F","17","Москва","No bundle","460","90","Книги","2022-07-01","44","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60238","M","17","Нижегородская область","No bundle","585","96","Кино","2022-07-26","35","0","1","0","0","0","0","0","0","0","0","0","0","0"
"84925","F","16","Пермский край","No bundle","154","56","Концерты","2022-11-02","305","0","0","0","0","0","1","0","0","0","0","0","0","0"
"34125","M","17","Липецкая область","No bundle","1842","37","Игры","2022-07-24","4","0","0","0","0","0","0","1","0","0","0","0","0","0"
"92611","F","14","Ростовская область","No bundle","419","112","Кино","2022-10-02","89","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72801","","17","Московская область","No bundle","714","73","Вкусвилл","2022-12-13","44","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3785","F","17","Республика Татарстан","No bundle","497","107","Кино","2022-10-01","113","0","1","0","0","0","0","0","0","0","0","0","0","0"
"5111","M","17","Московская область","No bundle","804","81","Путешествия","2022-10-19","4793","0","0","0","1","0","0","0","0","0","0","0","0","0"
"90458","F","17","Удмуртская республика","Tinkoff Pro","215","82","Кино","2022-01-28","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72791","M","17","Кемеровская область","No bundle","547","60","Топливо","2022-08-24","59","1","0","0","0","0","0","0","0","0","0","0","0","0"
"73672","F","15","Москва","No bundle","","","Кино","2022-01-01","178","0","1","0","0","0","0","0","0","0","0","0","0","0"
"62477","F","17","Ямало-Ненецкий автономный округ","No bundle","429","131","Топливо","2022-12-23","438","1","0","0","0","0","0","0","0","0","0","0","0","0"
"75728","F","17","Москва","No bundle","801","50","Путешествия","2022-08-24","1484","0","0","0","1","0","0","0","0","0","0","0","0","0"
"14457","M","17","Санкт-Петербург","No bundle","937","106","Вкусвилл","2022-11-09","38","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9811","M","16","Воронежская область","No bundle","375","79","Игры","2022-11-24","3","0","0","0","0","0","0","1","0","0","0","0","0","0"
"5504","M","16","Омская область","No bundle","501","75","Топливо","2022-12-23","176","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8626","M","17","Москва","No bundle","2120","99","Рестораны","2022-09-11","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5702","M","17","Москва","No bundle","519","35","Игры","2022-12-27","18","0","0","0","0","0","0","1","0","0","0","0","0","0"
"82096","F","17","Москва","No bundle","764","50","Путешествия","2022-04-18","2412","0","0","0","1","0","0","0","0","0","0","0","0","0"
"34378","M","15","Иркутская область","Tinkoff Premium","1246","127","Кино","2022-04-03","164","0","1","0","0","0","0","0","0","0","0","0","0","0"
"84099","M","17","Москва","No bundle","610","109","Путешествия","2022-08-11","1680","0","0","0","1","0","0","0","0","0","0","0","0","0"
"20751","M","16","Тюменская область","No bundle","1944","70","Топливо","2022-05-04","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"97128","F","16","Республика Адыгея","No bundle","797","90","Кино","2022-07-12","35","0","1","0","0","0","0","0","0","0","0","0","0","0"
"51665","M","17","Республика Саха (Якутия)","No bundle","1552","138","Театр","2022-03-03","469","0","0","0","0","0","0","0","0","1","0","0","0","0"
"7040","M","16","Краснодарский край","No bundle","42","162","Топливо","2022-12-14","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"14842","M","16","Москва","Tinkoff Pro","1303","103","Кино","2022-09-16","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"83895","F","17","Московская область","No bundle","358","64","Топливо","2022-11-16","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"68708","M","17","Воронежская область","Tinkoff Pro","1395","83","Путешествия","2022-11-10","939","0","0","0","1","0","0","0","0","0","0","0","0","0"
"33768","F","17","Краснодарский край","No bundle","1488","120","Путешествия","2022-01-19","397","0","0","0","1","0","0","0","0","0","0","0","0","0"
"95998","M","16","Красноярский край","No bundle","2198","63","Топливо","2022-10-01","235","1","0","0","0","0","0","0","0","0","0","0","0","0"
"95998","M","16","Красноярский край","No bundle","2198","63","Топливо","2022-12-26","352","1","0","0","0","0","0","0","0","0","0","0","0","0"
"37511","M","17","Мурманская область","No bundle","273","81","Кино","2022-02-22","134","0","1","0","0","0","0","0","0","0","0","0","0","0"
"37383","M","17","Воронежская область","No bundle","376","95","Путешествия","2022-11-22","998","0","0","0","1","0","0","0","0","0","0","0","0","0"
"17450","","17","Санкт-Петербург","No bundle","1774","52","Кино","2022-12-30","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70364","M","14","Ленинградская область","No bundle","108","73","Кино","2022-01-02","164","0","1","0","0","0","0","0","0","0","0","0","0","0"
"21949","M","16","Краснодарский край","No bundle","76","173","Игры","2022-12-14","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
"57643","M","17","Белгородская область","No bundle","395","78","Игры","2022-09-04","117","0","0","0","0","0","0","1","0","0","0","0","0","0"
"28821","F","17","Тюменская область","No bundle","554","116","Кино","2022-01-06","164","0","1","0","0","0","0","0","0","0","0","0","0","0"
"18832","F","17","Краснодарский край","No bundle","770","151","Кино","2022-09-09","136","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72849","M","17","Москва","No bundle","1131","135","Путешествия","2022-12-03","12594","0","0","0","1","0","0","0","0","0","0","0","0","0"
"53831","M","17","Белгородская область","No bundle","592","81","Кино","2022-03-27","188","0","1","0","0","0","0","0","0","0","0","0","0","0"
"53831","M","17","Белгородская область","No bundle","592","81","Кино","2022-01-02","141","0","1","0","0","0","0","0","0","0","0","0","0","0"
"96204","M","14","Московская область","No bundle","","","Кино","2022-02-18","253","0","1","0","0","0","0","0","0","0","0","0","0","0"
"99579","M","17","Омская область","No bundle","1324","155","Кино","2022-01-16","35","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8043","M","17","Брянская область","Tinkoff Pro","1429","79","Топливо","2022-10-13","47","1","0","0","0","0","0","0","0","0","0","0","0","0"
"48181","F","17","Мурманская область","No bundle","973","55","Путешествия","2022-05-31","2859","0","0","0","1","0","0","0","0","0","0","0","0","0"
"66605","M","17","Ивановская область","No bundle","421","103","Кино","2022-04-16","56","0","1","0","0","0","0","0","0","0","0","0","0","0"
"14514","F","17","Кемеровская область","No bundle","550","58","Путешествия","2022-07-28","3230","0","0","0","1","0","0","0","0","0","0","0","0","0"
"29116","F","15","Республика Башкортостан","No bundle","14","189","Кино","2022-11-11","340","0","1","0","0","0","0","0","0","0","0","0","0","0"
"42754","M","15","Республика Башкортостан","No bundle","1628","85","Путешествия","2022-07-23","1461","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5393","F","17","Карачаево-Черкесская республика","No bundle","1065","45","Кино","2022-01-02","275","0","1","0","0","0","0","0","0","0","0","0","0","0"
"63595","F","17","Республика Татарстан","No bundle","984","81","Рестораны","2022-05-27","379","0","0","0","0","1","0","0","0","0","0","0","0","0"
"73864","M","16","Ярославская область","Tinkoff Pro","600","110","Кино","2022-12-27","230","0","1","0","0","0","0","0","0","0","0","0","0","0"
"98644","M","16","Новосибирская область","Tinkoff Pro","760","96","Кино","2022-01-29","113","0","1","0","0","0","0","0","0","0","0","0","0","0"
"39461","M","17","Воронежская область","No bundle","752","50","Вкусвилл","2022-12-25","203","0","0","1","0","0","0","0","0","0","0","0","0","0"
"82776","M","16","Калужская область","No bundle","574","37","Путешествия","2022-11-08","4633","0","0","0","1","0","0","0","0","0","0","0","0","0"
"81072","F","17","Московская область","No bundle","1407","75","Путешествия","2022-07-13","2191","0","0","0","1","0","0","0","0","0","0","0","0","0"
"41697","M","17","Свердловская область","Tinkoff Pro","527","168","Игры","2022-03-15","29","0","0","0","0","0","0","1","0","0","0","0","0","0"
"74123","F","17","Краснодарский край","No bundle","790","56","Путешествия","2022-04-09","2781","0","0","0","1","0","0","0","0","0","0","0","0","0"
"40436","M","17","Ленинградская область","No bundle","1670","35","Топливо","2022-12-24","483","1","0","0","0","0","0","0","0","0","0","0","0","0"
"39623","M","16","Республика Татарстан","Tinkoff Premium","1657","81","Кино","2022-07-31","169","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70853","M","17","Вологодская область","No bundle","418","103","Кино","2022-12-29","150","0","1","0","0","0","0","0","0","0","0","0","0","0"
"90482","F","17","Санкт-Петербург","No bundle","741","143","Путешествия","2022-11-17","2097","0","0","0","1","0","0","0","0","0","0","0","0","0"
"34495","F","17","Астраханская область","No bundle","545","69","Путешествия","2022-10-18","1402","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15784","M","17","Липецкая область","No bundle","991","56","Игры","2022-06-30","42","0","0","0","0","0","0","1","0","0","0","0","0","0"
"88289","M","15","Тульская область","No bundle","554","156","Игры","2022-12-29","191","0","0","0","0","0","0","1","0","0","0","0","0","0"
"89852","M","16","Кировская область","Tinkoff Pro","323","135","Кино","2022-10-23","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"57130","M","17","Брянская область","No bundle","528","177","Кино","2022-11-22","169","0","1","0","0","0","0","0","0","0","0","0","0","0"
"93744","M","16","Мурманская область","No bundle","146","93","Кино","2022-02-10","52","0","1","0","0","0","0","0","0","0","0","0","0","0"
"56451","F","16","Республика Башкортостан","No bundle","1018","63","Путешествия","2022-08-28","1878","0","0","0","1","0","0","0","0","0","0","0","0","0"
"88910","M","17","Свердловская область","No bundle","697","169","Путешествия","2022-09-03","3778","0","0","0","1","0","0","0","0","0","0","0","0","0"
"72267","M","17","Московская область","No bundle","1023","40","Кино","2022-08-21","345","0","1","0","0","0","0","0","0","0","0","0","0","0"
"19892","M","17","Республика Башкортостан","Tinkoff Pro","1650","107","Кино","2022-07-04","40","0","1","0","0","0","0","0","0","0","0","0","0","0"
"45229","M","17","Москва","No bundle","504","88","Кино","2022-08-24","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"83953","F","15","Санкт-Петербург","No bundle","444","150","Кино","2022-08-17","35","0","1","0","0","0","0","0","0","0","0","0","0","0"
"58191","M","16","Кемеровская область","No bundle","129","234","Путешествия","2022-11-04","76","0","0","0","1","0","0","0","0","0","0","0","0","0"
"60826","M","17","Краснодарский край","No bundle","286","50","Путешествия","2022-08-28","1029","0","0","0","1","0","0","0","0","0","0","0","0","0"
"57361","F","17","Новосибирская область","No bundle","799","103","Топливо","2022-12-26","235","1","0","0","0","0","0","0","0","0","0","0","0","0"
"57361","F","17","Новосибирская область","No bundle","799","103","Топливо","2022-12-17","235","1","0","0","0","0","0","0","0","0","0","0","0","0"
"81941","F","17","Республика Татарстан","No bundle","1266","85","Путешествия","2022-12-23","2044","0","0","0","1","0","0","0","0","0","0","0","0","0"
"64996","F","14","Москва","No bundle","31","127","Кино","2022-05-28","188","0","1","0","0","0","0","0","0","0","0","0","0","0"
"97059","M","14","Московская область","No bundle","","","Кино","2022-01-22","103","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8385","M","16","Москва","Tinkoff Pro","183","226","Топливо","2022-05-07","469","1","0","0","0","0","0","0","0","0","0","0","0","0"
"37621","F","17","Москва","No bundle","44","64","Кино","2022-01-02","47","0","1","0","0","0","0","0","0","0","0","0","0","0"
"5757","F","17","Ханты-Мансийский автономный округ","No bundle","912","73","Кино","2022-08-24","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"89208","F","17","Москва","No bundle","2256","45","Вкусвилл","2022-12-20","110","0","0","1","0","0","0","0","0","0","0","0","0","0"
"13314","M","16","Москва","No bundle","76","113","Кино","2022-12-11","289","0","1","0","0","0","0","0","0","0","0","0","0","0"
"53760","M","17","Иркутская область","No bundle","696","124","Путешествия","2022-09-14","1705","0","0","0","1","0","0","0","0","0","0","0","0","0"
"53760","M","17","Иркутская область","Tinkoff Pro","696","124","Путешествия","2022-01-29","2906","0","0","0","1","0","0","0","0","0","0","0","0","0"
"426","M","15","Московская область","No bundle","234","92","Кино","2022-11-26","89","0","1","0","0","0","0","0","0","0","0","0","0","0"
"56414","F","14","Удмуртская республика","No bundle","79","110","Кино","2022-01-05","216","0","1","0","0","0","0","0","0","0","0","0","0","0"
"30362","M","15","Москва","No bundle","609","299","Книги","2022-07-19","21","0","0","0","0","0","0","0","1","0","0","0","0","0"
"49446","M","17","Владимирская область","No bundle","186","115","Кино","2022-02-25","183","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20601","M","17","Москва","No bundle","957","74","Кино","2022-01-07","263","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15501","","17","Ростовская область","No bundle","582","45","Кино","2022-10-13","493","0","1","0","0","0","0","0","0","0","0","0","0","0"
"53047","M","17","Москва","No bundle","1789","69","Топливо","2022-12-11","615","1","0","0","0","0","0","0","0","0","0","0","0","0"
"93903","M","17","Белгородская область","No bundle","417","101","Кино","2022-07-11","176","0","1","0","0","0","0","0","0","0","0","0","0","0"
"18734","M","17","Москва","No bundle","845","58","Кино","2022-09-10","225","0","1","0","0","0","0","0","0","0","0","0","0","0"
"97748","M","16","Московская область","No bundle","1281","80","Кино","2022-04-16","352","0","1","0","0","0","0","0","0","0","0","0","0","0"
"78404","M","16","Республика Башкортостан","No bundle","2881","102","Кино","2022-10-31","80","0","1","0","0","0","0","0","0","0","0","0","0","0"
"47650","F","16","Санкт-Петербург","Tinkoff Pro","1402","74","Книги","2022-08-25","63","0","0","0","0","0","0","0","1","0","0","0","0","0"
"74801","M","17","Московская область","No bundle","508","83","Кино","2022-06-30","235","0","1","0","0","0","0","0","0","0","0","0","0","0"
"88329","M","16","Республика Татарстан","No bundle","675","88","Кино","2022-01-23","131","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9811","M","16","Воронежская область","No bundle","375","79","Игры","2022-12-25","3","0","0","0","0","0","0","1","0","0","0","0","0","0"
"95099","M","17","Москва","No bundle","1223","94","Кино","2022-12-09","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8775","F","15","Санкт-Петербург","No bundle","52","46","Кино","2022-03-06","122","0","1","0","0","0","0","0","0","0","0","0","0","0"
"19702","M","16","Московская область","No bundle","1386","87","Путешествия","2022-12-06","5271","0","0","0","1","0","0","0","0","0","0","0","0","0"
"21907","M","15","Республика Татарстан","Tinkoff Pro","1204","73","Путешествия","2022-06-02","2248","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6732","M","17","Москва","Tinkoff Premium","1747","74","Кино","2022-02-08","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"25829","M","14","Самарская область","No bundle","180","62","Игры","2022-12-29","59","0","0","0","0","0","0","1","0","0","0","0","0","0"
"20751","M","16","Тюменская область","No bundle","1944","70","Топливо","2022-06-15","97","1","0","0","0","0","0","0","0","0","0","0","0","0"
"25016","M","17","Ленинградская область","Tinkoff Pro","780","90","Путешествия","2022-12-28","315","0","0","0","1","0","0","0","0","0","0","0","0","0"
"28879","M","16","Кемеровская область","Tinkoff Pro","69","93","Кино","2022-04-02","122","0","1","0","0","0","0","0","0","0","0","0","0","0"
"88879","F","17","Московская область","Tinkoff Pro","1150","60","Топливо","2022-11-30","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"28879","M","16","Кемеровская область","Tinkoff Pro","69","93","Кино","2022-01-05","164","0","1","0","0","0","0","0","0","0","0","0","0","0"
"88879","F","17","Московская область","Tinkoff Pro","1150","60","Топливо","2022-11-01","164","1","0","0","0","0","0","0","0","0","0","0","0","0"
"98788","M","17","Москва","No bundle","1994","99","Спорт","2022-11-11","94","0","0","0","0","0","0","0","0","0","1","0","0","0"
"49329","F","17","Самарская область","No bundle","484","95","Кино","2022-03-26","225","0","1","0","0","0","0","0","0","0","0","0","0","0"
"83022","F","14","Москва","No bundle","48","214","Красота","2022-02-25","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"19594","F","17","Тюменская область","No bundle","515","71","Топливо","2022-11-24","235","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1220","M","16","Нижегородская область","No bundle","514","130","Вкусвилл","2022-12-23","247","0","0","1","0","0","0","0","0","0","0","0","0","0"
"99977","F","17","Челябинская область","No bundle","118","123","Концерты","2022-12-06","399","0","0","0","0","0","1","0","0","0","0","0","0","0"
"61665","M","17","Москва","No bundle","884","52","Кино","2022-02-11","263","0","1","0","0","0","0","0","0","0","0","0","0","0"
"50673","F","16","Свердловская область","No bundle","668","65","Путешествия","2022-07-17","729","0","0","0","1","0","0","0","0","0","0","0","0","0"
"95998","M","16","Красноярский край","No bundle","2198","63","Топливо","2022-11-29","235","1","0","0","0","0","0","0","0","0","0","0","0","0"
"27084","M","17","Краснодарский край","No bundle","450","67","Топливо","2022-12-03","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"49246","M","16","Ямало-Ненецкий автономный округ","No bundle","691","111","Игры","2022-12-25","35","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1448","M","14","Московская область","No bundle","26","90","Кино","2022-02-06","115","0","1","0","0","0","0","0","0","0","0","0","0","0"
"41127","M","16","Московская область","No bundle","388","50","Топливо","2022-11-22","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
"56655","M","16","Москва","No bundle","656","204","Путешествия","2022-08-16","3598","0","0","0","1","0","0","0","0","0","0","0","0","0"
"75524","F","16","Москва","No bundle","117","31","Кино","2022-09-09","169","0","1","0","0","0","0","0","0","0","0","0","0","0"
"25572","M","17","Москва","No bundle","700","106","Кино","2022-02-20","225","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2275","M","17","Иркутская область","No bundle","1641","84","Кино","2022-08-23","282","0","1","0","0","0","0","0","0","0","0","0","0","0"
"46134","F","16","Нижегородская область","No bundle","856","65","Топливо","2022-07-12","35","1","0","0","0","0","0","0","0","0","0","0","0","0"
"90858","M","16","Краснодарский край","No bundle","88","81","Игры","2022-12-29","59","0","0","0","0","0","0","1","0","0","0","0","0","0"
"23625","M","17","foreign","No bundle","486","80","Кино","2022-01-12","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"35812","M","17","Санкт-Петербург","No bundle","1318","73","Кино","2022-09-20","150","0","1","0","0","0","0","0","0","0","0","0","0","0"
"17894","M","17","Московская область","Tinkoff Pro","884","123","Кино","2022-02-12","155","0","1","0","0","0","0","0","0","0","0","0","0","0"
"11722","M","16","Санкт-Петербург","No bundle","89","87","Путешествия","2022-05-18","7075","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15222","M","17","Ставропольский край","No bundle","154","126","Путешествия","2022-12-08","3825","0","0","0","1","0","0","0","0","0","0","0","0","0"
"31385","M","14","Санкт-Петербург","No bundle","13","29","Кино","2022-02-16","45","0","1","0","0","0","0","0","0","0","0","0","0","0"
"29282","F","17","Республика Башкортостан","No bundle","683","93","Кино","2022-08-24","117","0","1","0","0","0","0","0","0","0","0","0","0","0"
"622","M","17","Санкт-Петербург","No bundle","682","53","Топливо","2022-06-19","258","1","0","0","0","0","0","0","0","0","0","0","0","0"
"16829","F","17","Тульская область","No bundle","815","69","Кино","2022-10-29","169","0","1","0","0","0","0","0","0","0","0","0","0","0"
"16829","F","17","Тульская область","No bundle","815","69","Кино","2022-11-10","160","0","1","0","0","0","0","0","0","0","0","0","0","0"
"71322","F","14","Республика Башкортостан","No bundle","1384","96","Путешествия","2022-09-07","909","0","0","0","1","0","0","0","0","0","0","0","0","0"
"30065","M","16","Санкт-Петербург","Tinkoff Pro","2099","116","Кино","2022-06-13","915","0","1","0","0","0","0","0","0","0","0","0","0","0"
"75040","","16","Москва","No bundle","23","112","Концерты","2022-10-22","427","0","0","0","0","0","1","0","0","0","0","0","0","0"
"49150","F","17","Республика Башкортостан","No bundle","723","58","Путешествия","2022-10-19","782","0","0","0","1","0","0","0","0","0","0","0","0","0"
"53323","M","16","Брянская область","No bundle","1215","54","Кино","2022-03-25","113","0","1","0","0","0","0","0","0","0","0","0","0","0"
"26271","F","16","Краснодарский край","No bundle","757","92","Путешествия","2022-06-21","1892","0","0","0","1","0","0","0","0","0","0","0","0","0"
"76015","M","16","Республика Башкортостан","No bundle","422","94","Путешествия","2022-05-25","4694","0","0","0","1","0","0","0","0","0","0","0","0","0"
"88515","M","17","Воронежская область","No bundle","226","165","Игры","2022-12-06","16","0","0","0","0","0","0","1","0","0","0","0","0","0"
"65111","M","15","Иркутская область","Tinkoff Pro","703","96","Кино","2022-02-12","141","0","1","0","0","0","0","0","0","0","0","0","0","0"
"25525","M","17","Москва","No bundle","2070","80","Кино","2022-01-11","235","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2624","M","14","Московская область","No bundle","37","134","Рестораны","2022-07-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"35883","F","17","Москва","No bundle","460","90","Книги","2022-06-17","80","0","0","0","0","0","0","0","1","0","0","0","0","0"
"46752","M","17","Томская область","No bundle","258","52","Кино","2022-03-07","63","0","1","0","0","0","0","0","0","0","0","0","0","0"
"72801","","17","Московская область","No bundle","714","73","Вкусвилл","2022-12-09","35","0","0","1","0","0","0","0","0","0","0","0","0","0"
"37101","","16","Республика Татарстан","No bundle","596","81","Кино","2022-07-12","84","0","1","0","0","0","0","0","0","0","0","0","0","0"
"85466","M","17","Ленинградская область","No bundle","1174","80","Путешествия","2022-08-28","1050","0","0","0","1","0","0","0","0","0","0","0","0","0"
"64154","F","17","Москва","No bundle","56","81","Кино","2022-02-12","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"67747","M","16","Красноярский край","No bundle","864","72","Кино","2022-07-20","56","0","1","0","0","0","0","0","0","0","0","0","0","0"
"9135","M","17","Республика Татарстан","No bundle","498","83","Вкусвилл","2022-12-17","407","0","0","1","0","0","0","0","0","0","0","0","0","0"
"24017","F","14","Ивановская область","No bundle","33","90","Кино","2022-02-08","176","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8626","M","17","Москва","No bundle","2120","99","Рестораны","2022-10-08","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"17805","F","14","Московская область","No bundle","","","Кино","2022-06-29","56","0","1","0","0","0","0","0","0","0","0","0","0","0"
"42795","M","17","Кировская область","Tinkoff Premium","1937","74","Путешествия","2022-09-16","1652","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6732","M","17","Москва","Tinkoff Premium","1747","74","Кино","2022-02-20","117","0","1","0","0","0","0","0","0","0","0","0","0","0"
"84099","M","17","Москва","No bundle","610","109","Путешествия","2022-09-01","493","0","0","0","1","0","0","0","0","0","0","0","0","0"
"84679","M","17","Тульская область","No bundle","285","90","Кино","2022-04-17","176","0","1","0","0","0","0","0","0","0","0","0","0","0"
"33011","M","17","Москва","Tinkoff Pro","917","55","Кино","2022-02-10","82","0","1","0","0","0","0","0","0","0","0","0","0","0"
